id,subject,number,answer,student_id
638,언어,33,3,5
639,언어,34,4,5
640,언어,35,4,5
641,언어,36,4,5
642,언어,37,4,5
643,언어,38,4,5
644,언어,39,4,5
645,언어,40,4,5
646,자료,1,4,5
647,자료,2,3,5
648,자료,3,3,5
649,자료,4,3,5
650,자료,5,4,5
651,자료,6,3,5
652,자료,7,2,5
653,자료,8,1,5
654,자료,9,5,5
655,자료,10,1,5
656,자료,11,3,5
657,자료,12,4,5
658,자료,13,4,5
659,자료,14,2,5
660,자료,15,3,5
661,자료,16,4,5
662,자료,17,2,5
663,자료,18,2,5
664,자료,19,2,5
665,자료,20,2,5
666,자료,21,2,5
667,자료,22,2,5
668,자료,23,2,5
669,자료,24,1,5
670,자료,25,5,5
671,자료,26,3,5
672,자료,27,5,5
673,자료,28,2,5
674,자료,29,5,5
675,자료,30,4,5
676,자료,31,2,5
677,자료,32,2,5
678,자료,33,2,5
679,자료,34,4,5
680,자료,35,5,5
681,자료,36,4,5
682,자료,37,4,5
683,자료,38,3,5
684,자료,39,3,5
685,자료,40,4,5
686,상황,1,4,5
687,상황,2,2,5
688,상황,3,1,5
689,상황,4,1,5
690,상황,5,2,5
691,상황,6,1,5
692,상황,7,5,5
693,상황,8,1,5
694,상황,9,4,5
695,상황,10,3,5
696,상황,11,5,5
697,상황,12,3,5
698,상황,13,4,5
699,상황,14,4,5
700,상황,15,3,5
701,상황,16,1,5
702,상황,17,2,5
703,상황,18,1,5
704,상황,19,3,5
705,상황,20,1,5
706,상황,21,1,5
707,상황,22,4,5
708,상황,23,4,5
709,상황,24,3,5
710,상황,25,2,5
711,상황,26,3,5
712,상황,27,4,5
713,상황,28,4,5
714,상황,29,4,5
715,상황,30,4,5
716,상황,31,4,5
717,상황,32,4,5
718,상황,33,4,5
719,상황,34,4,5
720,상황,35,4,5
721,상황,36,4,5
722,상황,37,4,5
723,상황,38,4,5
724,상황,39,4,5
725,상황,40,4,5
726,헌법,1,4,6
727,헌법,2,4,6
728,헌법,3,1,6
729,헌법,4,3,6
730,헌법,5,3,6
731,헌법,6,4,6
732,헌법,7,4,6
733,헌법,8,4,6
734,헌법,9,2,6
735,헌법,10,2,6
736,헌법,11,4,6
737,헌법,12,3,6
738,헌법,13,1,6
739,헌법,14,2,6
740,헌법,15,4,6
741,헌법,16,1,6
742,헌법,17,3,6
743,헌법,18,2,6
744,헌법,19,3,6
745,헌법,20,4,6
746,헌법,21,3,6
747,헌법,22,1,6
748,헌법,23,4,6
749,헌법,24,3,6
750,헌법,25,3,6
751,언어,1,3,6
752,언어,2,4,6
753,언어,3,3,6
754,언어,4,5,6
755,언어,5,3,6
756,언어,6,1,6
757,언어,7,3,6
758,언어,8,2,6
759,언어,9,2,6
760,언어,10,5,6
761,언어,11,3,6
762,언어,12,4,6
763,언어,13,2,6
764,언어,14,3,6
765,언어,15,4,6
766,언어,16,4,6
767,언어,17,5,6
768,언어,18,5,6
769,언어,19,2,6
770,언어,20,5,6
771,언어,21,5,6
772,언어,22,2,6
773,언어,23,5,6
774,언어,24,5,6
775,언어,25,4,6
776,언어,26,5,6
777,언어,27,4,6
778,언어,28,5,6
779,언어,29,1,6
780,언어,30,3,6
781,언어,31,2,6
782,언어,32,3,6
783,언어,33,3,6
784,언어,34,3,6
785,언어,35,3,6
786,언어,36,3,6
787,언어,37,4,6
788,언어,38,3,6
789,언어,39,4,6
790,언어,40,4,6
791,자료,1,4,6
792,자료,2,3,6
793,자료,3,2,6
794,자료,4,3,6
795,자료,5,4,6
796,자료,6,3,6
797,자료,7,4,6
798,자료,8,1,6
799,자료,9,4,6
800,자료,10,1,6
801,자료,11,1,6
802,자료,12,2,6
803,자료,13,3,6
804,자료,14,4,6
805,자료,15,4,6
806,자료,16,3,6
807,자료,17,2,6
808,자료,18,4,6
809,자료,19,1,6
810,자료,20,3,6
811,자료,21,5,6
812,자료,22,1,6
813,자료,23,4,6
814,자료,24,4,6
815,자료,25,1,6
816,자료,26,4,6
817,자료,27,4,6
818,자료,28,3,6
819,자료,29,3,6
820,자료,30,3,6
821,자료,31,3,6
822,자료,32,2,6
823,자료,33,5,6
824,자료,34,5,6
825,자료,35,1,6
826,자료,36,3,6
827,자료,37,3,6
828,자료,38,3,6
829,자료,39,5,6
830,자료,40,5,6
831,상황,1,4,6
832,상황,2,3,6
833,상황,3,3,6
834,상황,4,4,6
835,상황,5,2,6
836,상황,6,5,6
837,상황,7,5,6
838,상황,8,4,6
839,상황,9,3,6
840,상황,10,5,6
841,상황,11,5,6
842,상황,12,1,6
843,상황,13,4,6
844,상황,14,2,6
845,상황,15,3,6
846,상황,16,5,6
847,상황,17,3,6
848,상황,18,1,6
849,상황,19,5,6
850,상황,20,4,6
851,상황,21,1,6
852,상황,22,2,6
853,상황,23,4,6
854,상황,24,4,6
855,상황,25,4,6
856,상황,26,3,6
857,상황,27,4,6
858,상황,28,2,6
859,상황,29,1,6
860,상황,30,4,6
861,상황,31,2,6
862,상황,32,5,6
863,상황,33,4,6
864,상황,34,3,6
865,상황,35,3,6
866,상황,36,3,6
867,상황,37,3,6
